ID,w1group,w1schoolid,gender,w1_54a,w1_54b,w1_54d,w1_54e,w1_54f,w2_54a,w2_54b,w2_54d,w2_54e,w2_54f,w3_54a,w3_54b,w3_54d,w3_54e,w3_54f,w4_54a,w4_54b,w4_54d,w4_54e,w4_54f,w1_1,w2_1,w3_1,w4_1
283,1,18,male,3,1,2,1,1,3,1,1,1,1,3,2,1,1,1,4,2,1,1,1,2,3,4,5
284,0,15,female,3,1,1,1,3,4,1,1,1,2,3,2,3,2,3,3,2,2,1,1,2,8,3,4
285,0,2,male,3,3,3,3,3,4,2,1,2,1,3,3,4,3,4,4,2,4,2,2,1,2,8,8
286,0,7,female,3,2,1,2,2,4,1,1,1,1,3,2,2,2,2,3,2,1,2,2,2,3,4,5
287,1,1,male,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,1,4,2,4,1,2,3,4
288,1,13,female,4,1,2,2,2,4,1,2,2,2,4,1,1,2,2,NA,NA,NA,NA,NA,1,2,8,NA
289,0,25,female,4,4,4,4,2,3,2,1,1,1,4,2,1,3,4,3,3,1,3,3,1,2,8,2
290,1,3,female,4,3,1,1,2,3,2,1,2,3,3,2,2,3,3,3,1,2,1,3,1,2,8,7
291,0,25,male,3,2,2,3,1,4,1,1,1,1,3,3,1,2,2,3,3,3,2,2,1,2,2,4
292,0,15,male,3,1,1,1,1,3,1,2,1,1,4,1,1,1,1,4,2,2,2,2,1,2,3,4
293,1,14,female,3,1,2,2,1,3,2,2,2,2,3,2,1,2,2,3,2,1,3,2,2,3,4,5
294,1,10,female,4,1,1,2,1,3,4,4,4,4,4,3,4,4,3,3,2,2,1,4,1,1,2,3
295,0,21,female,4,1,1,1,2,4,2,2,1,1,3,2,2,4,4,3,2,1,3,1,1,2,8,8
296,0,23,male,4,3,3,3,3,3,4,1,3,2,3,3,4,2,3,4,1,3,2,4,2,3,4,5
297,1,19,male,3,1,1,2,1,3,3,1,2,1,3,1,1,2,1,3,2,2,2,2,1,2,3,4
298,1,26,female,3,2,1,2,3,3,3,2,3,2,3,3,3,3,1,3,3,3,3,3,2,3,4,5
299,0,15,female,4,1,1,1,2,3,1,1,2,2,4,1,1,2,2,3,2,3,3,4,2,8,8,2
300,0,7,male,4,1,2,1,1,3,2,1,2,1,4,1,3,4,4,4,4,4,4,4,2,3,4,5
301,1,9,female,3,1,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,4,5
302,1,9,female,3,4,1,3,2,4,4,2,4,2,4,3,3,4,2,4,2,1,3,4,1,1,1,2
303,0,7,male,3,2,4,3,3,3,3,4,3,3,4,3,1,2,4,3,3,4,1,1,1,2,3,4
304,0,23,female,3,2,1,2,2,3,3,1,1,1,3,3,2,2,2,3,2,2,2,2,2,3,3,5
305,1,4,male,3,1,1,1,1,4,1,2,2,2,3,1,1,4,2,4,1,2,2,1,1,1,2,2
306,1,16,male,4,2,1,2,2,3,1,4,2,2,3,3,2,3,2,3,2,2,2,2,2,3,7,7
307,1,26,female,4,2,2,2,1,4,2,1,2,1,4,1,1,1,1,4,1,1,1,1,1,2,2,3
308,0,2,male,3,3,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,5
309,1,14,male,4,2,1,2,2,4,1,1,2,1,3,3,1,3,3,3,3,1,1,1,1,1,2,3
310,0,7,female,4,1,1,2,1,3,2,1,2,2,4,1,2,1,2,3,2,1,3,3,1,1,4,3
311,0,21,female,4,3,1,2,4,3,2,1,2,2,3,2,3,2,2,NA,NA,NA,NA,NA,1,2,3,NA
312,1,9,female,3,2,2,2,2,3,4,1,2,2,4,2,1,3,2,3,1,1,1,1,2,3,4,4
313,0,25,male,3,1,1,1,1,4,1,1,1,1,4,1,1,1,1,3,2,3,4,1,2,2,4,4
314,0,25,male,3,2,1,3,2,3,2,1,2,2,4,2,1,3,3,4,2,1,1,1,1,2,8,2
315,0,2,male,3,2,1,2,1,3,2,1,2,1,4,2,1,2,1,3,2,2,2,1,2,3,8,7
